,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,successful
328,Art,1,0,0,1,1,0,1,0.5,0.5,0,0,0,0,38,135,1
329,Games,0,0,0,1,1,1,0,0.5,0.5,0,0,0,15,54,78,1
330,Games,1,0,0,1,1,0,1,0.5,0,0,0,0,18,40,80,1
331,Art,0,0,0,1,1,1,1,0.5,0.5,0,0,0,11,22,134,1
332,Photography,0,0,0,1,1,0,1,0.5,0.5,0,1,0,10,33,55,0
333,Games,0,0,0,1,1,1,0,0.5,1,0,0,0,16,17,132,1
334,Film & Video,1,1,1,1,0,0,1,0.5,0,0,0,0,12,20,131,1
335,Publishing,1,0,0,1,1,0,1,0.5,0.5,0,0,0,0,50,120,1
336,Publishing,1,1,0,1,1,0,0,0.0,1,0,0,0,1,50,132,0
337,Crafts,1,0,0,0,1,0,0,0.5,1,0,0,0,0,45,133,1
338,Food,0,0,0,1,1,0,1,0.5,1,0,0,0,1,14,122,0
339,Photography,0,0,0,0,1,0,0,0.5,1,0,0,0,0,42,125,0
340,Film & Video,1,1,0,1,1,0,0,0.5,0,0,0,0,19,17,131,1
341,Publishing,1,0,0,1,1,0,1,0.0,0,0,0,0,1,50,114,1
342,Games,1,1,0,1,1,0,1,0.5,1,0,0,0,6,14,111,1
343,Technology,1,1,0,1,1,0,0,0.5,0.5,0,0,0,29,33,55,1
344,Publishing,0,0,0,1,1,0,1,0.5,0.5,0,0,0,1,20,63,0
345,Music,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,22,108,0
