,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,successful
74,Publishing,1,1,1,1,0,0,1,0.5,0,0,0,0,24,43,128,1
75,Food,0,0,0,1,1,1,1,0.5,0.5,0,0,0,17,25,39,1
76,Publishing,1,0,0,1,1,0,1,0.0,1,0,0,0,0,49,76,1
77,Games,1,0,0,1,1,0,1,0.5,0.5,0,0,0,17,25,122,1
78,Art,1,0,0,1,1,0,0,0.5,0.5,0,0,0,11,31,131,1
79,Crafts,1,0,0,1,0,0,1,0.5,0.5,0,0,0,18,12,135,0
80,Art,1,0,0,1,1,0,0,0.5,0,0,1,0,24,36,134,1
81,Food,0,0,0,1,0,0,1,0.5,0.5,0,0,0,2,50,135,0
82,Art,1,0,0,1,1,0,1,0.0,0,0,0,0,13,47,105,1
83,Games,0,0,0,0,1,0,0,0.0,0.5,0,0,0,0,44,79,1
84,Publishing,1,0,0,1,1,1,1,0.5,0.5,0,0,0,16,46,128,1
85,Art,1,0,0,1,1,0,0,0.5,0.5,0,0,0,0,23,50,1
86,Art,0,0,0,1,1,0,0,1.0,1,0,0,0,9,18,94,0
87,Comics,0,0,0,1,1,0,1,0.5,0.5,0,0,0,6,37,112,1
88,Film & Video,1,1,0,1,1,0,1,0.5,1,0,1,0,24,39,132,0
89,Comics,1,1,0,1,1,0,0,0.0,0,0,0,0,1,16,63,0
90,Crafts,1,0,0,1,1,1,0,0.0,0,0,0,0,4,23,66,1
91,Photography,1,1,1,1,1,0,0,0.0,0.5,0,0,0,16,49,108,1
92,Games,1,0,0,1,0,0,1,0.5,1,0,0,0,18,53,69,1
93,Film & Video,1,0,0,0,1,0,0,0.5,0,0,0,0,0,38,135,1
94,Comics,1,0,0,1,0,0,0,0.5,0,0,0,0,7,27,50,0
95,Food,0,0,0,1,1,0,0,0.5,1,0,1,0,19,23,130,0
96,Art,1,1,0,1,1,0,0,1.0,0.5,0,1,0,25,41,129,1
97,Dance,1,1,0,1,1,0,0,0.5,0.5,0,0,0,24,50,128,0
98,Games,0,0,0,0,1,0,0,0.5,0,0,0,0,0,10,130,1
99,Food,1,0,0,1,1,1,1,0.5,1,0,0,0,20,15,128,0
100,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,48,127,1
101,Photography,1,1,0,1,1,0,1,0.5,0.5,0,1,0,17,50,106,1
102,Games,1,0,0,1,1,1,1,1.0,0.5,0,0,0,11,29,126,1
103,Comics,1,0,0,1,1,0,1,0.5,0.5,0,0,0,8,50,120,1
104,Publishing,1,1,0,1,1,0,1,0.5,0.5,0,0,0,20,35,82,1
105,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,31,134,1
106,Games,1,0,0,1,1,0,0,0.5,0,0,0,0,0,4,113,1
107,Comics,1,1,0,1,1,0,1,0.5,0.5,0,0,0,0,36,50,1
108,Comics,0,0,0,1,1,1,1,0.5,0,0,0,0,4,50,109,1
109,Food,1,1,0,0,1,0,0,0.5,0.5,0,0,0,28,21,134,1
110,Games,1,0,0,1,1,0,1,0.5,1,0,0,0,4,16,37,1
111,Food,1,0,0,1,1,0,0,0.5,0.5,0,0,0,0,50,135,1
112,Comics,0,1,0,1,1,0,0,0.0,0,0,0,0,1,39,130,1
113,Food,1,0,0,1,1,0,0,0.5,0.5,0,0,0,18,49,94,0
114,Film & Video,1,1,0,1,1,0,0,0.5,1,0,0,0,25,27,134,1
115,Photography,1,0,0,1,1,1,0,0.5,0.5,0,0,0,31,14,133,0
116,Games,0,0,0,1,1,1,1,0.5,0,0,1,1,13,16,51,1
117,Food,1,0,0,1,1,0,0,0.5,0.5,0,0,0,22,19,115,0
118,Food,1,0,0,1,1,0,1,0.0,0,0,0,0,15,50,64,1
119,Food,1,0,0,1,1,0,0,0.5,0.5,0,0,0,32,32,54,0
120,Photography,1,1,0,1,1,0,1,0.5,0.5,0,0,0,21,50,112,0
121,Comics,1,0,0,1,1,1,1,0.0,0,0,0,0,1,40,134,1
122,Food,1,0,0,1,1,0,1,0.5,1,0,0,0,21,27,129,1
123,Crafts,0,0,0,1,1,0,1,0.5,0.5,0,1,0,32,43,22,1
124,Comics,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,20,85,1
125,Publishing,1,1,0,1,1,1,0,0.5,1,0,0,0,21,37,135,1
126,Music,1,0,0,0,1,0,0,0.5,0.5,0,0,0,1,29,120,1
127,Crafts,1,0,0,1,1,0,0,0.5,1,0,0,0,0,19,128,1
128,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,23,99,1
129,Publishing,0,0,0,1,1,0,1,0.5,1,0,0,0,3,25,131,1
130,Publishing,1,0,0,1,0,0,0,0.5,0.5,0,0,0,17,16,68,0
131,Publishing,1,0,0,1,1,0,0,0.5,0.5,0,0,0,4,22,134,0
132,Photography,1,0,0,1,1,1,1,0.5,1,0,0,0,32,23,125,1
133,Comics,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,20,75,0
134,Art,1,0,0,1,1,0,0,0.5,0.5,0,0,1,0,33,134,1
135,Games,0,0,0,0,1,0,0,0.5,1,0,0,0,0,50,126,1
136,Photography,1,0,0,1,1,0,1,0.0,mixed,0,0,0,26,42,123,0
137,Art,1,0,0,1,1,0,1,0.5,0.5,0,0,0,15,50,122,0
138,Games,1,0,0,1,1,1,1,0.5,0.5,0,0,0,2,55,65,1
139,Art,0,0,0,0,1,0,0,0.5,1,0,0,0,0,14,110,1
140,Art,0,0,0,1,1,0,0,0.5,0,0,0,0,7,12,124,0
141,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,35,101,1
142,Games,0,0,0,0,1,0,0,0.0,0,0,0,0,0,11,132,1
