,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
47,Music,0,0,0,1,0,0,0,0,1,0,0,1,0,47,134,0,0,0,1,7,0,3183,576,0,2000,14,1
48,Art,1,1,1,1,1,0,26,0,1,0,1,0,0,30,84,0,0,0,4,4,1,1384,0,0,1000,46,1
49,Photography,0,0,1,1,0,1,13,1,0,0,1,0,0,23,70,0,0,0,1,1,1,2300,0,0,900,30,0
50,Art,0,0,1,0,0,1,3,0,1,0,1,0,0,17,123,0,0,0,1,7,1,1425,0,0,10001,32,0
51,Comics,1,0,1,1,0,1,2,0,1,0,1,0,0,23,134,0,0,0,12,10,1,2332,586,4,500,29,1
52,Music,0,0,1,1,1,0,20,0,1,0,0,1,0,47,118,0,0,0,2,11,1,4409,0,4,5000,28,1
53,Technology,0,0,1,1,0,1,27,0,1,0,0,1,0,22,33,0,0,0,3,4,0,1057,0,2,950,30,1
54,Design,1,0,1,1,0,1,16,0,1,0,0,1,0,42,132,1,0,0,83,8,1,2499,0,0,75000,30,1
55,Dance,1,1,1,1,0,1,22,0,1,0,0,1,0,42,117,0,0,1,6,1,0,2008,0,0,6000,15,0
56,Art,0,0,1,1,0,1,26,0,1,0,0,1,0,38,132,0,0,0,7,8,1,1566,0,0,5000,15,1
57,Film & Video,0,0,1,1,0,1,11,0,1,0,0,0,1,48,32,0,0,0,2,5,1,110,4523,3,1000,30,1
58,Art,0,0,1,1,0,1,22,0,1,0,1,0,0,50,75,0,0,0,11,9,1,1979,0,0,4000,30,1
59,Art,0,0,1,1,0,1,9,1,0,0,1,0,0,31,118,0,0,0,4,9,0,908,0,12,400,14,1
60,Publishing,0,0,1,1,0,1,1,0,1,0,0,0,1,32,94,0,1,0,1,7,0,1454,2936,0,500,60,1
61,Comics,1,0,1,1,0,1,7,0,1,0,0,1,0,30,132,0,0,0,1,3,0,3725,0,0,25000,35,0
62,Music,0,0,0,1,0,0,0,0,1,0,1,0,0,13,124,0,0,0,1,2,0,874,0,0,2000,30,0
63,Film & Video,0,0,0,1,0,0,2,0,0,1,1,0,0,33,110,0,0,0,1,10,1,2630,0,0,25000,30,0
64,Technology,1,1,1,1,0,1,20,0,1,0,0,1,0,47,130,0,0,0,1,7,1,4476,758,0,10500,28,1
65,Music,1,1,1,1,0,1,21,0,1,0,0,1,0,46,118,0,0,0,1,11,1,3035,0,0,10000,30,0
66,Comics,1,0,1,0,1,1,5,0,1,0,0,1,0,50,81,0,0,0,27,24,1,13837,0,0,17500,31,1
67,Crafts,0,0,1,1,0,1,8,0,1,0,0,1,0,22,101,0,0,1,7,6,1,1844,0,3,500,30,1
68,Art,0,0,1,1,1,1,23,0,1,0,1,0,0,35,91,0,0,0,1,9,1,3790,720,2,3300,9,1
69,Publishing,0,0,1,1,0,1,2,0,1,0,0,1,0,35,135,1,1,0,1,1,1,1851,0,0,9500,40,0
70,Publishing,0,0,1,1,0,0,4,0,1,0,1,0,0,24,89,0,0,0,1,7,1,3670,0,0,6000,60,0
71,Film & Video,1,1,1,1,1,0,22,0,1,0,0,0,1,44,124,0,0,0,4,14,1,2732,362,0,1200,30,1
72,Film & Video,1,1,1,1,0,0,30,0,1,0,0,1,0,21,73,0,0,1,14,8,1,5249,0,0,10000,30,1
73,Games,0,0,1,1,0,1,0,0,1,0,0,1,0,27,117,0,0,0,80,7,1,10010,969,3,25000,24,1
74,Design,0,0,1,1,0,1,11,1,0,0,1,0,0,49,31,1,0,0,57,8,1,19028,0,0,1000,40,1
75,Comics,1,1,1,1,0,0,6,0,1,0,0,1,0,43,128,0,1,1,9,9,1,1788,1111,24,500,17,1
76,Food,1,1,1,0,1,1,24,0,1,0,1,0,0,50,74,0,0,1,1,6,1,736,202,0,50000,60,0
77,Technology,0,0,1,1,0,1,3,0,1,0,0,1,0,11,71,0,0,0,1,2,0,5832,0,0,175000,30,0
78,Food,0,0,1,1,0,1,16,0,1,0,1,0,0,19,118,0,0,1,7,11,1,4668,0,0,5000,30,0
79,Art,0,0,1,1,0,0,26,0,1,0,0,1,0,17,84,0,0,1,1,5,1,2698,0,0,1000,30,0
80,Publishing,1,1,1,1,0,1,17,0,1,0,0,0,1,19,132,0,0,0,9,26,1,9610,1847,4,5000,30,1
81,Comics,1,0,1,1,0,1,22,0,1,0,0,0,1,16,125,0,0,0,22,21,1,2717,0,5,8000,29,1
82,Design,0,0,1,1,1,1,0,0,1,0,1,0,0,32,53,1,0,0,6,8,0,1088,0,0,250,10,0
83,Film & Video,0,0,0,1,0,0,0,0,1,0,0,1,0,27,67,0,0,0,38,16,1,3858,0,0,3000,31,1
84,Comics,1,0,1,1,0,1,0,0,1,0,0,1,0,27,131,0,0,0,30,16,1,11156,0,0,150000,30,1
85,Music,1,0,1,1,0,1,17,0,1,0,0,0,1,50,95,0,0,0,4,15,1,3852,3877,0,6000,30,1
86,Comics,0,0,1,1,0,0,0,0,1,0,0,0,1,50,133,1,0,0,18,13,1,753,0,4,995,30,1
87,Film & Video,0,0,1,1,0,1,0,0,0,1,1,0,0,47,127,1,0,0,1,10,1,3470,0,0,1000,30,0
88,Games,1,0,1,1,0,1,6,0,1,0,0,0,1,12,133,1,0,0,3,5,0,4589,0,2,300,30,1
89,Publishing,1,1,1,1,0,0,14,0,1,0,0,0,1,50,130,1,0,0,5,11,1,5337,809,0,4000,19,1
90,Music,0,0,0,1,0,0,14,0,1,0,0,1,0,15,84,0,0,0,1,20,1,1269,0,0,2500,29,1
91,Food,1,0,1,1,0,1,18,0,1,0,1,0,0,16,130,0,0,0,9,7,1,6099,0,0,10000,45,1
92,Games,0,0,1,1,0,1,23,1,0,0,0,1,0,49,125,0,0,1,10,26,1,10886,1423,0,150000,34,0
93,Technology,1,1,1,1,1,1,17,0,1,0,1,0,0,50,135,1,0,0,55,8,1,8430,0,2,50000,60,1
94,Publishing,1,0,1,1,0,0,11,0,0,1,0,0,1,49,135,0,0,0,15,22,0,13800,1130,3,5800,30,1
95,Art,1,1,1,1,1,1,18,0,1,0,1,0,0,39,111,0,0,0,1,2,0,1328,545,0,500,24,0
96,Comics,1,0,1,1,0,1,1,0,0,1,0,1,0,13,81,0,0,0,10,15,1,2892,338,4,10000,30,1
97,Technology,0,0,1,1,0,1,16,0,1,0,1,0,0,37,128,0,0,0,2,2,1,2726,0,0,1000,30,0
98,Music,0,0,1,1,1,0,2,0,1,0,1,0,0,50,133,0,0,0,4,15,1,9272,0,0,15000,52,0
99,Publishing,1,1,1,1,1,1,23,0,1,0,0,1,0,18,110,1,0,0,4,5,1,1440,396,2,4000,29,1
100,Publishing,0,0,1,1,0,1,19,0,1,0,1,0,0,15,79,0,0,0,1,9,0,2572,0,0,1000,30,0
