,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
590,Food,0,0,1,1,0,1,29,0,1,0,1,0,0,50,134,0,0,1,9,11,1,9391,3016,0,40000,30,0
591,Journalism,0,0,1,1,0,1,17,0,1,0,1,0,0,36,119,0,0,0,1,1,1,1671,0,0,1000,30,0
592,Music,0,0,1,1,0,0,0,0,1,0,1,0,0,50,133,0,0,0,1,4,0,3071,188,2,3500,30,1
593,Crafts,0,0,1,1,0,1,31,0,1,0,0,1,0,43,22,0,0,1,11,3,0,2620,0,0,3000,45,1
594,Music,1,0,1,0,1,1,19,0,1,0,0,1,0,13,44,0,0,1,1,8,1,2078,0,0,3000,30,1
595,Food,0,0,1,1,0,0,17,0,1,0,0,1,0,25,121,1,0,0,17,13,1,6556,0,0,20000,40,1
596,Technology,0,0,1,0,0,1,22,0,1,0,0,1,0,33,108,0,0,0,3,2,1,3092,0,0,5000,60,1
597,Dance,1,0,1,1,0,1,18,0,1,0,0,1,0,50,135,0,0,1,12,8,1,2473,1741,0,5000,30,1
598,Comics,0,0,0,1,0,0,0,0,1,0,0,1,0,20,85,0,0,0,21,13,1,10211,0,5,9500,31,1
599,Music,1,1,1,0,0,1,23,0,1,0,0,1,0,50,111,1,0,0,7,9,1,5121,4238,0,5000,17,1
600,Comics,0,0,1,1,0,1,0,0,0,1,0,0,1,46,92,0,0,0,1,4,0,217,0,0,150,29,0
601,Publishing,0,0,1,1,0,1,2,0,1,0,0,1,0,16,132,0,0,0,1,4,1,8520,0,0,8000,30,1
602,Music,1,1,1,0,0,1,18,0,1,0,1,0,0,47,131,1,0,0,1,12,1,3283,1342,0,2000,59,1
603,Publishing,1,0,1,1,1,0,25,0,1,0,1,0,0,37,135,0,0,0,1,4,1,1486,0,0,220,37,1
604,Technology,0,0,1,0,0,1,19,0,1,0,0,1,0,39,135,0,0,0,1,5,0,2519,0,0,7000,30,0
605,Art,1,1,1,1,0,1,28,0,1,0,0,1,0,50,127,0,0,0,0,0,0,0,0,0,5000,45,1
606,Comics,0,0,1,1,1,1,21,0,0,1,0,0,1,23,87,0,0,0,24,12,1,4673,272,3,20000,30,1
607,Theater,0,0,1,1,0,0,22,0,0,1,1,0,0,10,78,0,0,0,1,5,0,1021,0,0,2000,14,1
608,Music,0,0,0,1,0,0,2,0,1,0,0,1,0,29,120,0,0,0,1,4,1,623,0,0,5000,35,1
609,Film & Video,1,1,1,1,0,0,28,0,1,0,0,1,0,26,119,0,0,0,4,3,1,1276,0,0,5000,38,1
610,Food,0,0,0,1,0,0,1,0,1,0,1,0,0,20,112,0,0,0,2,11,1,2896,1936,0,20000,30,0
611,Design,1,0,1,1,1,1,22,0,1,0,1,0,0,54,99,1,0,0,46,11,1,4831,0,2,20000,35,1
612,Publishing,0,0,1,1,0,0,12,0,1,0,1,0,0,34,104,1,0,0,1,6,0,1324,0,0,3000,30,0
613,Crafts,0,0,1,1,0,0,0,0,1,0,1,0,0,19,128,0,0,0,14,19,1,2754,0,0,2300,30,1
614,Technology,0,0,1,1,1,0,9,0,1,0,1,0,0,43,99,0,0,1,3,5,1,2481,0,2,3978,30,1
615,Design,0,0,1,1,0,0,1,0,1,0,0,1,0,48,87,0,0,0,1,3,0,900,0,0,250,15,0
616,Art,0,0,0,1,0,0,0,1,0,0,1,0,0,24,127,0,0,0,1,10,0,4285,0,0,1850,51,0
617,Music,1,1,1,1,0,0,16,0,1,0,1,0,0,50,128,0,0,0,1,5,1,3055,297,0,11000,51,1
618,Games,0,0,0,1,0,0,0,0,1,0,0,1,0,23,99,0,0,0,19,6,1,2483,0,3,500,20,1
619,Design,0,0,0,1,0,0,0,0,1,0,0,1,0,46,135,1,0,0,3,8,1,3913,0,0,125000,50,0
620,Design,1,1,1,1,1,0,21,0,1,0,0,1,0,12,85,0,0,0,1,1,0,910,0,0,5000,60,0
621,Design,0,0,1,1,0,1,20,0,1,0,1,0,0,50,71,0,0,1,30,6,1,1580,0,0,2500,45,1
622,Design,0,0,1,1,0,1,0,0,1,0,1,0,0,29,134,1,0,0,9,3,0,5505,0,8,2500,32,1
623,Publishing,0,0,1,1,0,1,5,0,1,0,1,0,0,25,131,0,0,0,5,45,1,5717,1308,0,1700,35,1
624,Crafts,0,0,0,1,0,0,0,0,1,0,1,0,0,19,105,0,0,0,1,4,0,1435,0,0,100,30,1
625,Music,0,0,1,0,0,0,0,0,1,0,0,1,0,50,113,0,0,0,7,10,1,4300,251,0,300,14,1
626,Publishing,0,0,1,1,0,1,5,0,1,0,0,1,0,38,108,1,0,0,1,11,1,2292,269,0,500,20,1
627,Music,1,1,0,1,0,0,23,0,1,0,0,1,0,50,75,0,0,0,1,12,1,1088,0,4,5000,30,1
628,Publishing,0,0,1,0,0,0,21,0,1,0,0,1,0,16,68,0,0,0,1,4,0,697,0,0,500,40,0
629,Technology,0,0,1,1,0,0,3,0,0,1,0,0,1,17,106,0,1,0,1,12,0,1830,0,0,100,30,1
630,Music,0,0,0,1,0,0,0,0,1,0,0,1,0,42,132,1,0,0,7,8,1,3762,1032,0,3600,13,1
631,Art,1,1,1,1,0,0,22,0,1,0,0,1,0,33,87,0,0,0,28,2,1,3245,1007,2,500,4,1
632,Film & Video,0,0,1,1,1,1,13,0,1,0,0,1,0,31,134,0,0,0,1,8,1,1712,0,0,5900,52,0
633,Publishing,0,0,1,1,0,0,7,0,1,0,0,1,0,22,134,0,0,0,5,6,1,2489,0,0,5400,30,0
634,Technology,0,0,1,1,0,0,19,0,1,0,0,1,0,40,132,0,0,0,1,6,0,1495,0,0,5000,30,0
635,Music,1,1,1,1,1,0,27,0,1,0,0,1,0,45,109,0,0,0,1,11,1,2139,800,0,5000,30,1
636,Design,0,0,1,1,0,1,0,0,1,0,0,1,0,23,43,1,0,0,30,6,0,3063,1628,5,2500,25,1
637,Publishing,0,0,1,1,0,1,2,1,0,0,1,0,0,27,119,1,0,0,38,23,1,25752,1753,12,800,30,1
638,Photography,0,0,1,1,1,1,23,0,1,0,1,0,0,23,125,0,0,0,14,9,1,2919,0,3,8000,60,1
639,Film & Video,0,0,1,1,1,1,2,0,1,0,0,0,1,50,130,0,0,0,6,12,1,5917,1536,0,12000,30,1
640,Music,1,0,1,1,0,0,20,0,1,0,1,0,0,4,111,0,0,0,2,11,1,5659,1589,0,10000,22,1
641,Journalism,0,0,1,1,0,0,7,0,1,0,0,0,1,50,124,0,0,0,1,6,1,3200,0,0,60000,30,0
642,Journalism,0,0,0,1,0,0,19,0,1,0,1,0,0,16,133,0,0,0,1,2,0,1937,0,0,1000,30,0
643,Comics,0,0,1,1,0,1,0,0,1,0,0,1,0,20,75,0,0,0,4,5,1,1959,0,0,500,35,0
644,Technology,0,0,0,1,0,0,0,0,1,0,0,1,0,50,135,0,0,0,17,10,1,0,141,24,500,30,1
645,Design,1,0,1,1,0,0,30,0,1,0,1,0,0,22,125,0,0,0,20,9,1,4333,0,0,10000,30,0
646,Art,0,0,1,1,0,0,1,0,1,0,1,0,0,25,118,0,0,0,5,6,0,1097,0,4,600,30,1
647,Art,0,0,1,1,0,0,0,0,1,0,0,1,0,33,134,0,1,0,7,14,1,4444,0,0,7500,30,1
648,Design,0,0,0,1,0,0,1,0,1,0,1,0,0,20,78,0,0,0,4,8,0,1973,0,0,3400,29,0
649,Film & Video,0,0,1,0,0,1,22,0,0,1,0,0,1,30,135,0,0,0,1,4,1,1241,1058,8,500,26,1
650,Journalism,0,0,1,1,0,1,1,0,0,1,0,0,1,50,121,0,0,0,1,2,0,713,0,0,600000,30,0
651,Journalism,0,0,0,1,0,0,0,0,1,0,1,0,0,8,130,0,0,0,1,6,1,2662,588,0,4279,30,1
652,Games,0,0,0,1,0,0,0,0,1,0,1,0,0,50,126,0,0,0,13,9,1,6141,610,4,500,39,1
653,Music,1,1,1,1,0,0,20,0,1,0,1,0,0,41,132,0,0,0,12,19,1,3811,1453,0,7800,27,1
654,Music,1,1,1,1,0,1,26,0,1,0,0,1,0,50,68,0,1,0,1,5,0,2843,0,0,4000,29,1
655,Art,0,0,1,1,1,1,1,0,1,0,0,0,1,14,40,1,0,0,2,5,0,545,0,0,150,13,0
656,Art,1,1,1,1,1,1,19,1,0,0,1,0,0,25,111,0,0,0,1,11,1,949,5243,0,3000,60,0
657,Photography,1,1,1,1,0,1,24,0,0,1,0,0,1,42,123,0,0,0,1,1,1,1036,0,0,2000,30,0
658,Music,0,0,1,1,0,1,21,0,1,0,1,0,0,43,129,0,0,0,1,8,0,1262,1479,2,10000,30,1
659,Technology,0,0,1,1,0,0,2,0,1,0,0,1,0,49,109,0,0,0,13,10,1,9851,0,0,30000,59,0
660,Comics,0,0,0,1,0,0,0,0,1,0,0,1,0,43,96,0,0,0,18,29,1,3495,0,0,6500,30,1
661,Art,1,1,1,0,0,1,22,0,1,0,1,0,0,37,130,0,0,0,17,22,1,2484,2492,0,6500,30,1
662,Art,0,0,0,1,0,0,0,0,1,0,0,1,0,50,122,0,0,0,1,6,0,1032,0,0,650,20,0
663,Film & Video,1,1,1,0,0,1,9,0,0,1,0,0,1,14,130,1,0,0,10,11,1,3732,3834,5,1500,60,1
664,Technology,1,1,1,1,0,0,24,0,1,0,0,1,0,35,110,0,0,1,1,2,0,423,0,0,15000,30,0
665,Comics,0,0,0,1,0,0,0,0,1,0,1,0,0,31,134,0,0,0,19,13,1,5023,899,2,4000,30,1
666,Music,1,0,0,1,0,0,27,0,1,0,0,1,0,31,126,0,0,0,1,4,0,446,0,3,1000,30,1
667,Games,0,0,1,1,1,1,3,0,1,0,0,1,0,55,65,1,0,0,16,6,1,2966,0,2,1000,32,1
668,Technology,0,0,1,1,0,1,16,0,1,0,0,0,1,50,134,0,0,0,1,5,1,0,0,0,60000,30,0
669,Film & Video,0,0,1,1,0,1,0,0,1,0,0,1,0,16,53,1,0,0,18,6,1,2311,0,0,2000,60,1
670,Publishing,0,0,0,1,0,0,0,0,1,0,0,1,0,16,134,0,0,0,1,2,1,1903,2692,0,300,47,1
671,Music,1,0,1,1,0,1,25,0,1,0,1,0,0,50,129,0,0,0,2,18,1,3811,0,3,2000,30,1
672,Art,1,0,1,1,0,1,22,0,1,0,1,0,0,14,110,0,0,0,10,15,1,2389,0,2,30000,40,1
673,Technology,1,0,1,1,0,1,17,0,1,0,0,1,0,16,129,0,0,0,2,1,1,7480,0,0,105000,30,0
674,Music,1,1,1,1,0,0,14,0,1,0,0,1,0,49,118,1,0,1,3,7,1,4366,0,0,5000,30,0
675,Art,0,0,1,0,0,0,0,0,1,0,1,0,0,10,29,0,0,0,1,1,0,247,0,0,40000,55,0
676,Food,0,0,1,1,0,0,24,0,1,0,0,1,0,15,103,0,0,1,10,6,0,2313,0,0,6000,29,1
677,Art,0,0,0,1,0,0,0,0,1,0,0,0,1,12,124,0,0,0,1,9,1,1762,0,0,1500,43,0
678,Technology,0,0,1,1,1,0,0,0,1,0,0,1,0,50,130,1,0,0,6,9,1,5151,0,4,15000,53,1
679,Film & Video,0,0,1,1,0,1,24,0,1,0,0,1,0,8,49,1,0,0,1,4,1,1252,0,0,2500,29,1
680,Comics,1,0,1,1,1,0,17,0,0,1,0,0,1,33,128,0,1,0,15,35,1,2637,4533,4,900,30,1
681,Technology,0,0,1,1,0,0,13,0,1,0,0,1,0,47,54,0,0,0,1,3,1,0,0,0,30000,30,0
682,Games,0,0,0,1,0,0,0,0,1,0,0,1,0,35,101,0,0,0,29,5,1,5468,0,3,1000,30,1
683,Design,0,0,1,0,0,0,39,0,1,0,0,1,0,38,132,0,0,0,1,1,0,940,0,0,2500,30,0
684,Design,0,0,1,1,0,0,6,0,0,1,0,0,1,37,133,0,0,0,5,11,1,0,0,0,5000,39,0
685,Technology,0,0,1,0,0,1,12,0,1,0,0,1,0,15,93,1,0,0,6,6,1,2866,0,0,50000,60,0
686,Games,0,0,1,1,0,1,28,0,1,0,0,1,0,12,133,0,0,0,1,3,0,791,0,0,60000,30,0
687,Games,0,0,0,1,0,0,0,0,0,1,0,0,1,11,132,0,0,0,15,4,1,5451,0,0,2000,25,1
688,Film & Video,0,0,1,0,0,1,6,0,1,0,0,0,1,10,103,0,0,0,1,8,1,2546,1192,0,500,14,1
689,Film & Video,0,0,0,1,0,0,13,0,1,0,0,0,1,11,108,0,0,0,7,9,1,4291,0,2,3000,30,1
690,Design,0,0,1,0,0,1,18,0,1,0,0,1,0,47,94,0,0,0,49,5,1,7165,0,0,40000,44,1
691,Music,1,1,1,1,0,1,28,0,1,0,0,1,0,50,123,0,1,0,7,18,1,2681,0,2,4000,48,1
692,Music,1,1,1,1,1,0,10,0,1,0,1,0,0,35,126,0,0,0,2,5,0,393,0,0,450,30,1
693,Technology,0,0,1,1,0,1,2,0,1,0,1,0,0,50,102,1,0,0,6,7,1,2849,0,4,1000,30,1
694,Design,0,0,1,1,0,0,0,0,1,0,0,1,0,18,133,1,0,0,7,3,1,2055,0,0,10000,19,0
695,Journalism,1,1,1,1,0,1,19,0,0,1,0,0,1,28,110,0,0,1,1,9,0,1628,0,0,8200,55,0
696,Photography,1,1,1,1,0,0,9,0,1,0,1,0,0,40,116,0,0,0,89,8,1,8476,0,8,500,45,1
697,Publishing,0,0,1,0,0,1,2,0,0,1,0,0,1,37,102,0,0,1,43,8,1,5495,0,0,50000,30,1
698,Crafts,0,0,1,1,0,0,31,0,1,0,0,0,1,38,132,0,0,0,1,1,0,640,0,0,800,29,1
699,Film & Video,1,1,1,0,0,0,12,0,1,0,0,0,1,43,105,1,0,0,24,20,1,4790,1317,2,30000,30,1
700,Art,0,0,0,1,0,0,0,0,1,0,0,1,0,26,68,0,0,0,13,15,0,4706,0,3,600,28,1
701,Music,0,0,1,1,0,1,2,0,1,0,0,1,0,31,111,0,0,0,2,5,0,2934,0,0,4500,30,0
702,Comics,1,0,1,1,0,1,7,0,0,1,1,0,0,50,120,0,1,0,14,11,1,2288,2217,36,4000,30,1
703,Film & Video,0,0,1,0,0,0,32,0,1,0,0,1,0,14,75,1,0,1,1,9,1,0,0,0,9000,51,1
704,Crafts,0,0,1,1,0,1,27,0,1,0,1,0,0,8,50,0,0,0,21,9,0,2666,0,6,300,29,1
705,Design,0,0,1,1,0,1,12,0,1,0,0,1,0,7,83,0,0,0,30,7,1,1507,830,25,5000,28,1
706,Film & Video,0,0,1,1,0,1,2,0,1,0,0,0,1,11,131,1,0,0,6,9,1,4832,854,0,3500,30,1
707,Music,0,0,0,1,0,0,0,0,1,0,0,1,0,31,91,0,0,0,1,15,1,2972,2050,0,2000,60,1
708,Games,0,0,0,1,0,0,0,0,1,0,1,0,0,15,123,0,0,0,6,4,0,0,0,0,40000,45,0
709,Technology,0,0,0,1,0,0,23,0,1,0,1,0,0,38,101,0,0,0,6,2,0,2842,0,0,38600,10,0
710,Publishing,0,0,1,1,0,0,26,0,1,0,0,1,0,47,134,0,0,0,1,4,0,900,0,0,2500,28,0
711,Music,0,0,1,1,0,1,15,0,1,0,0,1,0,18,19,0,0,0,2,7,1,1197,0,0,10000,30,0
712,Art,1,1,1,1,0,0,21,0,1,0,0,1,0,25,133,0,0,0,25,16,1,11132,608,2,3300,33,1
713,Technology,0,0,1,0,0,1,21,0,1,0,1,0,0,50,106,0,0,0,32,10,1,0,0,0,2000,43,1
714,Music,0,0,0,1,0,0,0,0,1,0,1,0,0,35,132,0,0,0,3,4,0,4801,0,0,500,35,0
715,Comics,0,0,1,1,0,1,3,0,1,0,0,1,0,30,116,1,1,0,50,17,1,9832,0,5,2000,30,1
716,Music,1,1,0,1,0,0,25,0,1,0,0,0,1,34,119,0,0,0,1,7,1,4315,2176,0,6000,30,1
717,Food,0,0,1,1,0,1,16,0,1,0,0,1,0,50,131,0,0,0,29,21,1,7708,41,0,85000,25,1
718,Games,1,0,1,1,0,1,11,0,1,0,0,1,0,27,118,0,0,0,1,7,1,0,0,0,10000,30,0
719,Film & Video,0,0,1,1,0,1,14,0,1,0,0,0,1,14,92,0,0,0,14,6,1,6092,0,0,2500,31,1
720,Art,0,0,1,1,0,0,1,0,1,0,0,1,0,23,131,1,1,0,16,12,1,5842,0,0,4236,40,1
721,Art,1,0,1,0,0,1,24,0,1,0,1,0,0,30,58,0,0,0,1,11,1,3839,807,0,25000,30,1
722,Art,0,0,1,1,0,1,17,0,1,0,0,1,0,33,114,0,0,1,1,2,1,2098,0,0,1000,18,1
723,Film & Video,0,0,1,0,0,0,11,0,1,0,0,0,1,6,134,1,0,0,1,7,1,0,154,0,500,35,1
724,Technology,0,0,1,1,1,0,8,0,1,0,0,1,0,37,114,0,1,0,2,2,1,860,0,22,500,46,1
725,Art,0,0,1,1,1,0,1,0,1,0,1,0,0,50,131,0,1,0,4,7,1,1640,0,0,1500,18,0
726,Art,0,0,1,1,0,1,1,0,1,0,0,1,0,17,134,1,0,0,1,5,1,1232,0,0,10000,43,0
727,Film & Video,0,0,0,1,0,0,0,1,0,0,0,1,0,30,135,1,0,0,1,6,1,2909,33,0,5000,45,0
728,Film & Video,0,0,1,0,0,1,21,0,1,0,0,0,1,12,52,0,0,0,1,15,1,0,0,0,50000,60,0
729,Film & Video,0,0,1,0,0,1,10,0,0,1,0,0,1,50,132,0,0,0,7,21,1,2605,4415,19,2500,20,1
730,Comics,0,0,1,1,1,0,19,0,0,1,0,1,0,50,132,0,0,0,18,37,1,6406,0,0,20000,36,0
731,Film & Video,0,0,1,0,0,1,14,0,1,0,1,0,0,49,130,1,0,0,1,14,0,9569,0,0,50000,30,0
732,Film & Video,0,0,1,1,0,1,5,0,1,0,1,0,0,26,98,0,0,0,1,2,1,2100,0,2,500,30,1
733,Film & Video,1,1,1,0,1,0,23,0,1,0,1,0,0,19,130,0,0,0,1,10,1,0,0,0,35000,38,0
734,Design,0,0,1,1,1,0,5,0,1,0,0,1,0,34,42,0,0,0,1,6,0,0,0,0,16700,30,0
735,Design,0,0,1,1,0,0,3,0,1,0,1,0,0,49,134,1,0,0,28,10,1,5655,457,3,10000,45,1
736,Food,0,0,0,1,0,0,2,0,1,0,0,1,0,15,74,0,0,0,11,4,1,924,0,0,25000,44,0
737,Comics,1,0,1,1,0,1,6,0,1,0,0,1,0,50,134,0,0,0,28,54,1,2776,0,2,75000,30,1
738,Crafts,0,0,1,1,0,1,18,0,1,0,0,1,0,37,120,0,0,0,1,16,1,0,0,0,16000,32,1
739,Design,0,0,1,1,0,0,4,0,1,0,0,1,0,13,106,0,0,0,1,2,1,0,0,0,4800,40,0
740,Publishing,0,0,1,1,0,0,1,0,1,0,1,0,0,40,125,1,0,0,3,5,1,2687,0,0,8000,30,1
741,Music,1,0,1,1,0,0,14,0,1,0,0,1,0,46,134,0,0,0,1,6,1,0,0,0,2000,41,0
742,Film & Video,0,0,1,1,0,1,1,0,1,0,1,0,0,15,130,1,0,0,1,7,0,2316,198,0,400,59,1
743,Music,0,0,1,1,0,1,15,0,1,0,0,1,0,30,72,0,0,0,1,10,1,0,2699,0,5500,30,1
744,Food,0,0,1,1,0,1,18,0,1,0,1,0,0,42,131,0,0,0,1,8,1,0,0,0,2500,33,0
745,Design,0,0,1,1,0,0,13,0,1,0,0,1,0,50,132,1,0,0,64,15,1,6802,670,2,25000,43,1
746,Dance,1,1,1,1,0,0,16,0,1,0,0,1,0,19,130,0,0,0,1,5,1,0,0,2,6000,30,1
747,Publishing,1,0,1,1,0,1,19,0,1,0,1,0,0,33,88,0,0,1,5,11,0,7405,0,0,1000,21,1
748,Art,0,0,1,1,0,1,20,0,1,0,0,1,0,50,125,0,1,0,1,15,1,0,3919,0,25000,31,1
749,Film & Video,1,1,1,1,0,1,21,0,1,0,0,1,0,27,50,0,0,0,1,7,0,0,1122,0,15000,29,1
750,Design,0,0,1,1,0,0,28,0,1,0,0,1,0,44,131,0,0,1,61,7,1,3173,361,2,10000,45,1
751,Art,1,1,1,1,0,0,21,0,1,0,0,1,0,31,106,0,0,0,1,10,0,0,0,0,1845,30,1
752,Crafts,0,0,1,1,0,1,17,0,1,0,0,1,0,5,24,0,0,0,1,3,0,525,0,0,100,5,0
753,Music,1,1,1,1,0,0,18,0,1,0,0,1,0,31,110,0,0,0,1,6,1,0,4999,2,3000,30,1
754,Film & Video,0,0,0,1,0,0,0,0,0,1,0,0,1,46,123,0,0,0,1,2,1,0,0,0,10000,36,0
755,Design,0,0,1,1,0,1,15,0,0,1,0,0,1,59,124,0,0,0,30,24,0,10923,0,8,5000,33,1
756,Music,0,0,0,1,0,0,5,0,1,0,0,1,0,48,134,0,0,0,1,1,0,0,0,0,50000,30,0
757,Art,0,0,0,1,0,0,0,0,1,0,1,0,0,30,130,0,0,0,4,4,1,1395,0,0,250,15,1
758,Film & Video,0,0,1,0,0,1,10,0,1,0,0,0,1,43,127,0,0,0,1,11,1,0,0,0,8500,30,1
759,Film & Video,0,0,0,1,0,0,0,0,1,0,0,0,1,18,121,0,0,0,1,10,1,0,465,2,4000,29,1
760,Art,1,1,1,1,0,0,17,0,1,0,0,1,0,7,33,0,0,1,1,4,1,2205,0,0,10000,60,0
761,Technology,0,0,1,1,0,1,0,0,1,0,0,1,0,42,133,0,0,0,1,3,0,0,0,0,3500,50,0
762,Publishing,0,0,0,1,0,0,0,0,1,0,1,0,0,25,121,1,0,0,1,7,1,2073,0,0,10000,45,1
763,Crafts,0,0,0,1,0,0,0,0,1,0,0,0,1,34,126,0,0,0,1,15,1,0,500,3,250,30,1
764,Design,0,0,1,1,0,0,18,0,1,0,1,0,0,48,129,0,1,0,1,7,1,0,0,0,10000,42,0
765,Art,1,0,1,1,0,1,5,0,1,0,0,1,0,23,63,0,0,0,6,2,1,1250,0,0,500,31,0
766,Art,1,1,1,1,0,1,22,1,0,0,0,0,1,31,116,0,0,0,1,4,0,0,0,0,2000,19,1
767,Food,0,0,1,1,0,1,30,0,1,0,1,0,0,32,134,0,0,0,1,4,0,8282,0,0,55000,21,0
768,Food,0,0,1,1,0,1,3,0,1,0,0,1,0,49,131,0,0,0,1,9,1,0,0,0,40000,30,1
769,Publishing,0,0,1,1,0,1,5,0,1,0,0,1,0,50,113,1,0,0,1,8,1,0,0,0,7500,22,1
770,Photography,0,0,1,1,1,0,22,1,0,0,0,0,1,27,119,0,0,1,2,4,0,2178,0,0,3000,45,0
771,Music,1,0,1,1,0,1,22,0,1,0,1,0,0,50,122,0,1,1,1,6,1,0,4751,3,1700,53,1
772,Comics,0,0,0,1,0,0,0,0,1,0,0,1,0,33,82,0,0,0,15,17,1,2033,1577,2,7000,31,1
773,Technology,0,0,1,0,0,1,2,0,1,0,1,0,0,14,134,0,1,0,1,7,1,0,0,5,500,10,1
774,Crafts,0,0,0,1,0,0,19,1,0,0,1,0,0,20,108,0,0,0,1,7,1,0,0,0,6000,25,1
775,Art,1,1,1,1,0,0,3,0,1,0,0,0,1,45,86,0,0,0,7,6,0,2342,0,0,400,43,1
776,Comics,0,0,0,1,0,0,0,0,1,0,0,1,0,49,133,0,0,0,1,15,1,0,1336,6,1000,28,1
777,Publishing,0,0,1,1,0,0,7,0,0,1,1,0,0,44,133,0,0,0,1,3,1,2415,142,0,1000,33,1
778,Film & Video,0,0,1,1,0,1,25,0,1,0,0,0,1,17,128,0,0,0,1,6,1,0,0,0,1050,30,1
779,Technology,0,0,0,1,0,0,0,0,1,0,0,1,0,50,113,0,0,0,1,13,1,0,0,0,100000,60,1
780,Publishing,0,0,1,1,0,0,5,0,0,1,0,1,0,50,117,0,0,0,1,6,1,8073,1868,0,3000,24,1
781,Art,1,1,1,0,0,1,20,0,1,0,1,0,0,28,118,0,0,0,1,5,1,0,0,0,9999,14,0
782,Publishing,0,0,1,0,1,1,16,0,1,0,0,1,0,27,135,0,0,0,5,9,1,6313,497,0,7500,45,1
783,Music,0,0,1,1,0,0,25,0,1,0,0,1,0,49,121,0,0,0,1,19,1,0,0,0,15000,30,1
784,Design,0,0,1,1,0,0,2,0,1,0,1,0,0,35,119,0,0,0,1,10,1,0,0,0,3000,30,0
785,Design,1,1,1,1,1,0,24,0,1,0,1,0,0,50,39,1,0,0,29,5,1,2160,0,0,12000,35,1
786,Publishing,0,0,1,1,0,0,0,0,1,0,0,1,0,50,132,1,0,0,1,4,1,0,776,0,1000,30,1
787,Film & Video,0,0,1,1,0,1,2,0,1,0,0,1,0,42,89,1,0,0,24,11,1,13197,1380,2,5300,26,1
788,Film & Video,0,0,1,1,0,0,9,0,1,0,0,0,1,28,73,0,0,0,1,10,1,0,453,2,25000,32,1
789,Crafts,0,0,1,1,0,1,22,0,1,0,1,0,0,33,54,0,0,0,1,2,0,0,0,2,100,30,1
790,Art,1,0,1,1,0,1,30,0,1,0,0,1,0,15,100,0,0,0,3,11,1,4092,0,0,10000,38,0
791,Design,0,0,0,1,0,0,8,0,1,0,0,1,0,37,77,0,0,0,1,4,1,0,0,0,1349,30,0
792,Games,0,0,1,1,0,0,2,0,1,0,1,0,0,32,128,0,0,0,1,4,1,2421,0,2,300,33,1
793,Publishing,0,0,0,1,0,0,0,0,1,0,0,1,0,49,128,1,0,0,1,11,1,0,3966,6,22240,20,1
794,Technology,0,0,1,1,0,0,15,0,1,0,0,0,1,30,51,0,0,0,1,6,1,0,0,0,1000,30,1
795,Art,1,1,1,1,0,0,31,0,1,0,1,0,0,22,113,0,0,0,1,3,0,2025,0,0,1000,51,0
796,Music,1,0,1,1,1,1,20,0,1,0,1,0,0,32,135,0,0,1,1,18,1,0,2948,2,1700,29,1
797,Art,0,0,1,1,0,1,20,0,1,0,0,1,0,35,133,0,0,1,8,7,1,6561,5000,0,10000,30,1
798,Music,1,1,1,1,0,0,23,0,1,0,1,0,0,50,115,0,0,0,1,1,0,0,0,0,10000,30,0
799,Film & Video,0,0,1,1,1,1,33,0,1,0,1,0,0,27,135,0,0,0,1,8,0,0,0,2,106,30,1
800,Art,1,1,1,1,0,1,26,0,1,0,0,1,0,50,133,0,0,0,11,1,1,2484,0,0,600,18,0
801,Crafts,0,0,1,1,0,1,22,0,1,0,0,1,0,43,123,0,0,1,1,1,0,0,0,0,550,30,1
802,Food,1,1,1,1,1,0,21,0,1,0,0,1,0,50,135,0,0,0,1,9,1,992,0,0,15000,21,1
803,Design,0,0,0,1,0,0,17,0,1,0,1,0,0,50,91,0,0,0,1,4,0,0,0,0,10000,60,0
804,Music,0,0,0,1,0,0,0,0,1,0,0,1,0,20,124,0,0,0,1,1,0,0,0,0,5000,39,0
805,Art,0,0,1,1,0,1,21,1,0,0,0,1,0,49,108,1,0,0,14,11,1,8264,131,0,47700,37,0
806,Dance,1,0,1,1,0,1,15,0,1,0,1,0,0,16,134,0,0,0,1,5,1,0,901,2,3500,19,1
807,Art,1,0,0,1,0,0,12,0,0,1,0,0,1,50,98,0,0,0,21,12,1,10910,0,0,28000,30,1
808,Music,0,0,1,1,0,1,3,0,1,0,0,1,0,25,110,0,0,0,1,8,0,0,0,0,300,13,1
809,Film & Video,0,0,1,1,0,1,1,0,1,0,0,1,0,28,133,0,0,0,1,14,1,0,0,0,20000,29,1
810,Comics,0,0,1,1,0,1,0,0,1,0,0,1,0,46,67,1,0,0,11,15,1,3994,0,4,10000,30,1
811,Music,1,1,0,1,0,0,29,0,1,0,1,0,0,28,135,0,0,0,1,8,1,0,0,0,5000,60,1
812,Comics,0,0,1,1,0,0,16,0,1,0,0,1,0,26,118,0,0,0,14,16,1,5180,0,4,4000,23,1
