,category,duration,success,goal,pledged,backers,%pledged
2311,Food,31,successful,8000,10320.0,80,129.0
2312,Games,25,successful,5000,5659.0,159,113.18
2313,Design,34,successful,900,11247.0,235,1249.67
2314,Art,49,failed,17000,25.0,1,0.15
2315,Theater,22,successful,6000,6570.0,124,109.5
2316,Photography,45,successful,660,670.0,6,101.52
2317,Design,16,successful,1500,3052.0,34,203.47
2318,Technology,30,failed,50000,0.0,0,0.0
2319,Music,44,successful,2000,2132.0,44,106.6
2320,Art,29,successful,1000,1240.0,32,124.0
2321,Comics,30,successful,4000,8455.0,142,211.38
2322,Film & Video,40,failed,50000,125.0,2,0.25
2323,Fashion,30,successful,18150,18400.0,163,101.38
2324,Games,30,failed,5000,1.0,1,0.02
2325,Design,45,successful,20000,27704.0,343,138.52
2326,Music,25,failed,50000,0.0,0,0.0
2327,Technology,28,failed,2000,594.0,20,29.7
2328,Film & Video,60,failed,2500,971.0,17,38.84
2329,Design,34,successful,15000,18879.0,309,125.86
2330,Music,28,successful,3000,3050.01,67,101.67
2331,Theater,36,failed,10000,125.0,3,1.25
2332,Film & Video,25,failed,55000,14581.0,30,26.51
2333,Design,30,successful,20000,38072.0,220,190.36
2334,Music,30,successful,10000,10110.0,62,101.1
2335,Fashion,25,successful,200,235.0,18,117.5
2336,Music,30,successful,3330,3846.0,113,115.5
2337,Publishing,30,failed,50000,0.0,0,0.0
2338,Technology,30,failed,45000,5.0,1,0.01
2339,Theater,34,successful,15000,16776.0,200,111.84
2340,Art,30,successful,200,221.0,5,110.5
2341,Design,30,successful,2000,66401.13,621,3320.06
2342,Art,30,successful,700,918.77,28,131.25
2343,Technology,60,successful,9000,35858.0,62,398.42
2344,Photography,40,failed,120,22.0,4,18.33
2345,Publishing,30,successful,5000,7098.0,138,141.96
2346,Design,30,successful,200,203.0,12,101.5
2347,Food,29,successful,25000,26725.0,286,106.9
2348,Art,39,failed,11500,2351.0,15,20.44
2349,Art,30,successful,100000,111111.77,567,111.11
2350,Food,59,failed,100000,2.0,2,0.0
2351,Technology,30,successful,25000,28760.0,737,115.04
2352,Food,17,successful,12000,13846.0,153,115.38
2353,Art,14,successful,100,280.0,6,280.0
2354,Food,7,successful,600,2275.0,76,379.17
2355,Food,29,successful,20000,25460.75,149,127.3
2356,Technology,15,successful,9500,22882.0,148,240.86
2357,Fashion,29,failed,5000,190.0,4,3.8
2358,Food,30,failed,23000,5.0,1,0.02
2359,Music,30,successful,4500,5000.0,96,111.11
2360,Film & Video,45,successful,6000,9215.0,168,153.58
2361,Publishing,30,successful,2500,2535.0,35,101.4
2362,Art,30,failed,40000,8752.0,112,21.88
2363,Technology,50,failed,30000,494.15,8,1.65
2364,Film & Video,60,failed,10000,0.0,0,0.0
2365,Art,60,failed,25000,100.0,1,0.4
2366,Comics,30,successful,8000,10165.0,107,127.06
2367,Publishing,38,successful,1575,1735.88,42,110.21
2368,Comics,30,failed,1200,31.0,3,2.58
2369,Art,38,successful,22000,24008.0,272,109.13
2370,Technology,30,failed,15000,31.0,3,0.21
2371,Publishing,30,successful,275,311.0,10,113.09
2372,Music,60,successful,2000,2555.0,18,127.75
2373,Photography,30,failed,100,10.0,1,10.0
2374,Art,30,failed,5000,800.0,10,16.0
2375,Art,30,successful,10000,12572.88,150,125.73
2376,Technology,36,successful,3000,17743.0,551,591.43
2377,Design,31,successful,5000,120602.0,2057,2412.04
2378,Art,30,failed,30000,2465.0,21,8.22
2379,Technology,40,successful,500,13911.0,96,2782.2
2380,Film & Video,36,successful,2800,3212.0,75,114.71
2381,Photography,30,failed,4000,27.0,5,0.68
2382,Music,28,successful,5500,5593.0,78,101.69
2383,Music,29,successful,8888,10807.99,246,121.6
2384,Comics,60,failed,1000,170.0,4,17.0
2385,Design,26,successful,20000,28819.0,132,144.09
2386,Film & Video,30,successful,21000,21750.0,109,103.57
2387,Technology,45,failed,5000,1.0,1,0.02
2388,Design,30,successful,10000,10165.0,97,101.65
2389,Publishing,30,successful,1000,1335.0,31,133.5
2390,Fashion,20,successful,400,515.0,24,128.75
2391,Food,60,failed,2000,110.0,2,5.5
2392,Journalism,29,failed,25000,4.0,2,0.02
2393,Food,37,failed,20000,230.0,4,1.15
2394,Games,15,failed,300,0.0,0,0.0
2395,Journalism,29,failed,500,0.0,0,0.0
2396,Comics,57,successful,320,945.0,38,295.31
2397,Comics,30,successful,10000,105616.0,1282,1056.16
2398,Art,30,failed,4999,0.0,0,0.0
2399,Art,30,successful,4500,4806.0,92,106.8
2400,Technology,35,successful,5000,5105.0,56,102.1
2401,Publishing,40,failed,1000,246.0,7,24.6
2402,Art,7,successful,5000,5427.0,40,108.54
2403,Comics,30,successful,3000,3400.0,88,113.33
2404,Technology,59,failed,50000,13.0,3,0.03
2405,Fashion,30,successful,900,913.0,28,101.44
2406,Crafts,30,failed,1200,0.0,0,0.0
2407,Journalism,29,failed,75000,0.0,0,0.0
2408,Music,30,successful,7000,7520.0,158,107.43
2409,Publishing,31,successful,30000,34008.5,606,113.36
2410,Photography,30,failed,20000,2.0,2,0.01
2411,Design,35,successful,35000,171928.0,268,491.22
2412,Music,17,successful,1200,1266.0,21,105.5
2413,Food,60,failed,53775,27.0,1,0.05
2414,Film & Video,25,failed,6500,35.0,1,0.54
2415,Art,29,successful,500,590.0,31,118.0
2416,Music,17,successful,1000,1123.0,16,112.3
2417,Food,60,failed,17000,0.0,0,0.0
2418,Art,38,successful,850,925.34,24,108.86
2419,Design,23,successful,1000,24239.0,187,2423.9
2420,Theater,25,successful,1300,1835.0,27,141.15
2421,Publishing,30,failed,10000,150.0,2,1.5
2422,Technology,22,successful,3500,72398.0,1218,2068.51
2423,Design,35,successful,2000,2016.0,29,100.8
2424,Music,25,successful,1500,1782.0,44,118.8
2425,Food,29,successful,7536,7540.0,29,100.05
2426,Film & Video,35,successful,50000,52594.5,438,105.19
2427,Design,42,successful,25000,115035.0,1178,460.14
2428,Food,30,failed,10000,11.0,2,0.11
2429,Art,21,successful,26630,27701.03,330,104.02
2430,Games,14,successful,500,6672.0,100,1334.4
2431,Art,30,failed,10000,2867.0,104,28.67
2432,Music,45,successful,8000,8296.0,90,103.7
2433,Publishing,25,failed,3000,250.0,7,8.33
2434,Film & Video,60,failed,20000,216.0,8,1.08
2435,Art,30,failed,8000,0.0,0,0.0
2436,Technology,27,successful,1000,4296.0,93,429.6
2437,Fashion,29,successful,600,660.0,23,110.0
2438,Art,32,successful,4500,4800.11,55,106.67
2439,Theater,34,successful,3600,3955.0,61,109.86
2440,Music,30,successful,2200,2506.0,36,113.91
2441,Technology,31,successful,20000,20580.0,323,102.9
2442,Film & Video,30,failed,8000,2221.0,43,27.76
2443,Food,30,failed,10000,2.0,2,0.02
2444,Theater,30,failed,600,0.0,0,0.0
2445,Journalism,30,failed,1000,0.0,0,0.0
2446,Comics,13,failed,570,64.0,7,11.23
2447,Music,60,failed,1750,125.0,5,7.14
2448,Film & Video,20,successful,8000,8240.0,52,103.0
2449,Publishing,32,successful,15000,18225.0,316,121.5
2450,Theater,19,successful,1000,1445.0,25,144.5
2451,Comics,30,successful,3000,3789.0,127,126.3
2452,Music,60,successful,7000,7750.0,119,110.71
2453,Food,32,successful,20000,20417.0,29,102.09
2454,Art,30,successful,1500,1675.0,17,111.67
2455,Technology,30,failed,12500,2971.0,113,23.77
2456,Fashion,40,successful,10000,20883.8,132,208.84
